TrainCallNote;TrainCallNote.CallId;TrainCallNote.DisplayOrder;TrainCallNote.IsDriverNote;TrainCallNote.IsStationNote;TrainCallNote.IsShuntingNote;TrainCallNote.IsForArrival;TrainCallNote.IsForDeparture;TrainCallNote.TrainInfo
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5788;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5788;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5788;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5788;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5793;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5797;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5797;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5797;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5797;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5807;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5807;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5808;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5812;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5812;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5812;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5812;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5817;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5817;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5592;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5594;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5632;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5642;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5644;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5645;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5653;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5663;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5665;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5673;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5674;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5675;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5680;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5704;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5769;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5770;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockDestinationsCallNote;5772;0;True;False;True;False;True;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5594;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5596;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5633;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5654;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5665;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5667;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5674;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5675;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5677;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5681;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5705;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5767;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5768;0;True;False;True;True;False;""
Tellurian.Trains.Planning.App.Contracts.BlockArrivalCallNote;5771;0;True;False;True;True;False;""
